Name	ingredients
Qdoba - Side of Guacamole	ascorbic acid (vitamin c)
Qdoba - Side of Guacamole	minced onion
Qdoba - Side of Guacamole	citric acid
Qdoba - Side of Guacamole	xanthan gum
Qdoba - Side of Guacamole	cilantro
Armour - Pepperoni Slices Lower Sodium	pork
Armour - Pepperoni Slices Lower Sodium	beef
Armour - Pepperoni Slices Lower Sodium	contains 2% or less of salt
Armour - Pepperoni Slices Lower Sodium	dextrose
Armour - Pepperoni Slices Lower Sodium	natural flavorings
Armour - Pepperoni Slices Lower Sodium	dehydrated granulated garlic
Armour - Pepperoni Slices Lower Sodium	lactic acid starter culture
Armour - Pepperoni Slices Lower Sodium	oleoresin of paprika
Armour - Pepperoni Slices Lower Sodium	sodium nitrite
Armour - Pepperoni Slices Lower Sodium	potassium chloride
Armour - Pepperoni Slices Lower Sodium	bha
Armour - Pepperoni Slices Lower Sodium	bht
Armour - Pepperoni Slices Lower Sodium	citric acid
Manner - Hazelnut Cream Filled Wafers	sugar
Manner - Hazelnut Cream Filled Wafers	wheat flour
Manner - Hazelnut Cream Filled Wafers	coconut fat
Manner - Hazelnut Cream Filled Wafers	palm kernel fat
Manner - Hazelnut Cream Filled Wafers	hazelnuts
Manner - Hazelnut Cream Filled Wafers	low fat cocoa powder
Manner - Hazelnut Cream Filled Wafers	sodium bicarbonate
Manner - Hazelnut Cream Filled Wafers	salt
Manner - Hazelnut Cream Filled Wafers	soy lecithin
Manner - Hazelnut Cream Filled Wafers	natural vanilla flavoring.
Wegmans - California Roll Corrected	seasoned white rice [water
Wegmans - California Roll Corrected	rice
Wegmans - California Roll Corrected	sugar
Wegmans - California Roll Corrected	cider vinegar (distilled vinegar
Wegmans - California Roll Corrected	caramel color
Wegmans - California Roll Corrected	cider flavor)
Wegmans - California Roll Corrected	canola oil
Wegmans - California Roll Corrected	pretzel m salt
Wegmans - California Roll Corrected	cream base (skim milk
Wegmans - California Roll Corrected	cream
Wegmans - California Roll Corrected	gelatin)]
Wegmans - California Roll Corrected	imitation crab meat [water
Wegmans - California Roll Corrected	surimi (alaska pollock
Wegmans - California Roll Corrected	egg white powder
Wegmans - California Roll Corrected	sorbitol
Wegmans - California Roll Corrected	sodium phosphates)
Wegmans - California Roll Corrected	wheat starch
Wegmans - California Roll Corrected	modified tapioca starch
Wegmans - California Roll Corrected	sugar
Wegmans - California Roll Corrected	salt
Wegmans - California Roll Corrected	palm oil
Wegmans - California Roll Corrected	crab extract (soy)
Wegmans - California Roll Corrected	crab flavor
Wegmans - California Roll Corrected	color
Wegmans - California Roll Corrected	calcium carbonate]
Wegmans - California Roll Corrected	cucumber
Wegmans - California Roll Corrected	avocado
Wegmans - California Roll Corrected	mayonnaise (soybean oil
Wegmans - California Roll Corrected	water
Wegmans - California Roll Corrected	whole eggs and egg yolks
Wegmans - California Roll Corrected	vinegar
Wegmans - California Roll Corrected	salt
Wegmans - California Roll Corrected	sugar
Wegmans - California Roll Corrected	lemon juice
Wegmans - California Roll Corrected	calcium disodium edta to protect quality
Wegmans - California Roll Corrected	natural flavors)
Wegmans - California Roll Corrected	sesame seeds
Wegmans - California Roll Corrected	seaweed
Wegmans - California Roll Corrected	l- cysteine hydrochloride
Wegmans - California Roll Corrected	calcium chloride
Wegmans - California Roll Corrected	calcium carbonate
Wegmans - California Roll Corrected	citric acid
Wegmans - California Roll Corrected	malic acid
Wegmans - California Roll Corrected	tartaric acid
Trader Joes - Wild and Basmati Rice Pilaf Cooked	indian basmati rice
Trader Joes - Wild and Basmati Rice Pilaf Cooked	wild rice
Trader Joes - Wild and Basmati Rice Pilaf Cooked	dehydrated carrots
Trader Joes - Wild and Basmati Rice Pilaf Cooked	onions
Trader Joes - Wild and Basmati Rice Pilaf Cooked	celery
Trader Joes - Wild and Basmati Rice Pilaf Cooked	red bell pepper
Trader Joes - Wild and Basmati Rice Pilaf Cooked	garlic
Trader Joes - Wild and Basmati Rice Pilaf Cooked	parsley
Trader Joes - Wild and Basmati Rice Pilaf Cooked	mushrooms
Trader Joes - Wild and Basmati Rice Pilaf Cooked	leeks
Trader Joes - Wild and Basmati Rice Pilaf Cooked	lemon peel
No Name - Clingstone Peach Halves In Light Syrup	peaches
No Name - Clingstone Peach Halves In Light Syrup	sugar
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	parboiled long grain rice
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	wild rice. orzo (macaroni product made with durum wheat flour and wheat flour)
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	salt
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	garlic*
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	natural flavor
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	autolyzed yeast extract
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	onion*
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	parsley*
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	bay leaf
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	olive oil
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	soy sauce (soybeans
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	wheat
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	salt)
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	rosemary
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	marjoram
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	sesame oil
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	soy protein
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	turmeric spice which imparts color
Near East - Long Grain &amp; Wild Rice - Garlic &amp; Herb	soy lecithin.
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	whole sprouted grains of red wheat berries
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	quinoa
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	oat groats
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	rye berries
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	barley
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	amaranth
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	and millet
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	water
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	wheat flour
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	vital wheat gluten. 100% domestic honey
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	sunflower oil
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	oat fiber
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	yeast
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	molasses
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	salt
Angelic Bakehouse - Sprouted 7 Grain Dinner Roll	cultured whea
New Potato Veg Pancakes	potato
New Potato Veg Pancakes	carrot
New Potato Veg Pancakes	
New Potato Veg Pancakes	zucchini
New Potato Veg Pancakes	egg
New Potato Veg Pancakes	wheat flour
New Potato Veg Pancakes	salt
New Potato Veg Pancakes	olive oil
Tomatoes	tomatoes
Spinach - Raw	spinach
Elevation Burger - Kids Burger	ground beef
Elevation Burger - Kids Burger	enriched flour (wheat flour
Elevation Burger - Kids Burger	malted barley flour
Elevation Burger - Kids Burger	niacin
Elevation Burger - Kids Burger	reduced iron
Elevation Burger - Kids Burger	thiamin mononitrate
Elevation Burger - Kids Burger	riboflavin
Elevation Burger - Kids Burger	folic acid)
Elevation Burger - Kids Burger	water
Elevation Burger - Kids Burger	sugar
Elevation Burger - Kids Burger	yeast
Elevation Burger - Kids Burger	potato flour
Elevation Burger - Kids Burger	wheat gluten
Elevation Burger - Kids Burger	contains 2% or less of each of the following: soybean oil
Elevation Burger - Kids Burger	fermented potato flour
Elevation Burger - Kids Burger	wheat flour
Elevation Burger - Kids Burger	salt
Elevation Burger - Kids Burger	dextrose
Elevation Burger - Kids Burger	calcium sulfate
Elevation Burger - Kids Burger	calcium propionate (a preservative)
Elevation Burger - Kids Burger	yellow corn flour
Elevation Burger - Kids Burger	guar gum
Elevation Burger - Kids Burger	datem
Elevation Burger - Kids Burger	natural flavors
Elevation Burger - Kids Burger	enzymes
Elevation Burger - Kids Burger	turmeric color
Elevation Burger - Kids Burger	annatto extract color
Elevation Burger - Kids Burger	ascorbic acid
